GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DateTime/Expresiones/Clases,com.docencia.fecha.ejercicio10,Ejercicio10,3,5,0,0,1,1,1,1,1,1
DateTime/Expresiones/Clases,com.docencia.clases.ejercicio1,RegistroUsuario,20,23,0,0,6,9,5,3,5,3
DateTime/Expresiones/Clases,com.docencia.fecha.ejercicio3,Ejercicio03,3,5,0,0,1,1,1,1,1,1
DateTime/Expresiones/Clases,com.docencia.fecha.ejercicio2,Ejercicio02,3,5,0,0,1,1,1,1,1,1
DateTime/Expresiones/Clases,com.docencia.fecha.ejercicio1,Ejercicio01,3,5,0,0,1,1,1,1,1,1
DateTime/Expresiones/Clases,com.docencia.fecha.ejercicio7,Ejercicio07,3,5,0,0,1,1,1,1,1,1
DateTime/Expresiones/Clases,com.docencia.fecha.ejercicio6,Ejercicio06,3,5,0,0,1,1,1,1,1,1
DateTime/Expresiones/Clases,com.docencia.fecha.ejercicio5,Ejercicio05,3,5,0,0,1,1,1,1,1,1
DateTime/Expresiones/Clases,com.docencia.fecha.ejercicio4,Ejercicio04,3,5,0,0,1,1,1,1,1,1
DateTime/Expresiones/Clases,com.docencia.fecha.ejercicio9,Ejercicio09,3,5,0,0,1,1,1,1,1,1
DateTime/Expresiones/Clases,com.docencia.fecha.ejercicio8,Ejercicio08,3,5,0,0,1,1,1,1,1,1
DateTime/Expresiones/Clases,com.docencia.expresiones.ejercicio7,Ejercicio07,3,13,0,4,1,4,1,3,1,1
DateTime/Expresiones/Clases,com.docencia.expresiones.ejercicio6,Ejercicio06,3,20,0,4,1,6,1,3,1,1
DateTime/Expresiones/Clases,com.docencia.expresiones.ejercicio9,Ejercicio09,3,15,0,4,1,5,1,3,1,1
DateTime/Expresiones/Clases,com.docencia.expresiones.ejercicio8,Ejercicio08,3,13,0,4,1,4,1,3,1,1
DateTime/Expresiones/Clases,com.docencia.expresiones.ejercicio3,Ejercicio03,3,13,0,4,1,4,1,3,1,1
DateTime/Expresiones/Clases,com.docencia.expresiones.ejercicio2,Ejercicio02,3,13,0,4,1,4,1,3,1,1
DateTime/Expresiones/Clases,com.docencia.expresiones.ejercicio5,Ejercicio05,3,13,0,4,1,4,1,3,1,1
DateTime/Expresiones/Clases,com.docencia.expresiones.ejercicio4,Ejercicio04,3,13,0,4,1,4,1,3,1,1
DateTime/Expresiones/Clases,com.docencia.expresiones.ejercicio1,Ejercicio01,3,16,0,4,1,5,1,3,1,1
DateTime/Expresiones/Clases,com.docencia.clases.ejercicio3,Factura,15,28,0,0,5,9,5,3,5,3
DateTime/Expresiones/Clases,com.docencia.clases.ejercicio2,ReservaHotel,12,30,0,0,4,9,4,4,4,4
DateTime/Expresiones/Clases,com.docencia.clases.ejercicio5,TurnoEmpleado,22,30,0,0,6,9,6,4,6,4
DateTime/Expresiones/Clases,com.docencia.clases.ejercicio4,TarjetaEmbarque,9,22,0,0,3,7,3,3,3,3
DateTime/Expresiones/Clases,com.docencia.expresiones.ejercicio10,Ejercicio10,3,37,0,6,1,10,1,4,1,1
