GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CRUD Academia,com.docente.validacion,Validaciones,7,41,7,7,1,7,8,7,1,7
CRUD Academia,com.docente.ficheros,FicheroAbstract,157,0,8,0,40,0,9,0,5,0
CRUD Academia,com.docente.persistencia.impl,AsignaturaRepositorioCSV,127,0,10,0,32,0,9,0,4,0
CRUD Academia,com.docente.persistencia.impl,AlumnoMatriculadoRepositorioCSV,168,0,12,0,36,0,10,0,4,0
CRUD Academia,com.docente.persistencia.impl,AlumnoRepositorioCSV,15,0,0,0,6,0,4,0,4,0
CRUD Academia,com.docente.app,Main,508,0,48,0,149,0,49,0,18,0
CRUD Academia,com.docente.modelo,PersonaAbstracta,17,53,0,8,5,19,3,10,3,6
CRUD Academia,com.docente.modelo,Asignatura,33,51,2,2,10,15,7,7,5,7
CRUD Academia,com.docente.modelo,Alumno,33,30,0,0,5,9,3,5,3,5
CRUD Academia,com.docente.modelo,AlumnoMatriculado,109,56,12,4,21,13,12,8,5,7
CRUD Academia,com.docente.servicio,AlumnoService,18,170,12,18,8,41,13,10,1,7
CRUD Academia,com.docente.servicio,AsignaturaService,18,160,10,16,8,38,11,10,1,7
CRUD Academia,com.docente.servicio,AlumnoMatriculadoService,130,221,38,26,40,47,34,10,4,8
